course,week,lecture
PDSA,Week 10,10.1 String Matching
PDSA,Week 10,10.2 String Matching-Boyer-Moore Algorithm
PDSA,Week 10,10.3 String Matching-Rabin-Karp Algorithm
PDSA,Week 10,10.4 String Matching Using Automata
PDSA,Week 10,10.5 String Matching-Knuth-Morris-Pratt Algorithm
PDSA,Week 10,10.6 String Matching-Tries
PDSA,Week 10,10.7 String Matching-Regular Expresssions
PDSA,Week 11,11.1 Linear Programming
PDSA,Week 11,11.2 Linear Programming-Production Planning
PDSA,Week 11,11.3 Linear Programming-Bandwidth Allocation
PDSA,Week 11,11.4 Network Flows
PDSA,Week 11,11.5 Reductions
PDSA,Week 11,11.6 Intractability-Checking Algorithms
PDSA,Week 11,11.7 Intractability-P and NP
PDSA,Week 1,1.1 Introduction to Jupyter notebooks and Google Colab
PDSA,Week 1,1.2 Implementation of Python codes (Part 1)
PDSA,Week 1,1.3 Python recap - I
PDSA,Week 1,1.4 Python recap - II
PDSA,Week 1,1.6 Exception handling
PDSA,Week 1,1.5 Python recap - III
PDSA,Week 1,1.7 Classes and Objects
PDSA,Week 1,1.8 Implementation of Python codes (Part 2)
PDSA,Week 1,1.9 Timing our code
PDSA,Week 1,1.10 Implementation of Python codes (Part 3)
PDSA,Week 1,1.11 Why efficiency matters
PDSA,Week 1,1.12 Implementation of Python codes (Part 4)
PDSA,Week 9,9.1 Dynamic Programming
PDSA,Week 9,9.2 Memoization
PDSA,Week 9,9.3 Grid Paths
PDSA,Week 9,9.4 Common Subwords and Subsequences
PDSA,Week 9,9.5 Edit Distance
PDSA,Week 9,9.6 Matrix Multiplication
PDSA,Week 4,4.1 Introduction to graphs
PDSA,Week 4,4.2 Representing Graphs
PDSA,Week 4,4.3 Breadth First Search (BFS)
PDSA,Week 4,4.4 Depth First Search (DFS)
PDSA,Week 4,4.5 Applications of BFS and DFS
PDSA,Week 4,4.6 Introduction to Directed Acyclic Graph (DAG)
PDSA,Week 4,4.7 Topological Sorting
PDSA,Week 4,4.8 Longest Path in DAGs
PDSA,Week 8,8.1 Divide and Conquer-Counting inversions
PDSA,Week 8,8.2 Divide and Conquer-Closest Pair of Points
PDSA,Week 8,8.3 Divide and Conquer-Integer Multiplication
PDSA,Week 8,8.4 Divide and Conquer-Recursion Trees
PDSA,Week 8,8.5 Divide and Conquer-Quick Select
PDSA,Week 8,8.6 Implementation of Quick select and Fast select algorithms
PDSA,Week 3,3.1 Quicksort
PDSA,Week 3,3.2 Analysis of Quicksort
PDSA,Week 3,3.3 Implementation of Quicksort algorithm
PDSA,Week 3,3.4 Concluding remarks on sorting algorithms
PDSA,Week 3,3.5 Difference between Lists and Arrays (Theory)
PDSA,Week 3,3.6 Designing a Flexible List and Operations on the same
PDSA,Week 3,3.7 Implementation of Lists in Python
PDSA,Week 3,3.8 Implementation of Dictionaries in Python
PDSA,Week 3,3.9 Difference between Lists and Arrays (Implementation)
PDSA,Week 6,6.1 Union-Find Data Structure
PDSA,Week 6,6.2 Priority Queues
PDSA,Week 6,6.3 Heaps
PDSA,Week 6,6.4 Using Heaps in Algorithms
PDSA,Week 6,6.5 Search Trees
PDSA,Week 5,5.1 Shortest Paths in Weighted Graphs
PDSA,Week 5,5.2 Single Source Shortest Paths (Dijkstra_s algorithm)
PDSA,Week 5,5.3 Single Source Shortest Paths with Negative Weights (Bellman-Ford Algorithm)
PDSA,Week 5,5.4 All Pairs Shortest Paths (Floyd-Warshall algorithm)
PDSA,Week 5,5.5 Minimum Cost Spanning Trees
PDSA,Week 5,5.6 Minimum Cost Spanning Trees (Prim_s Algorithm)
PDSA,Week 5,5.7 Minimum Cost Spanning Trees (Kruskal_s Algorithm)
PDSA,Week 2,2.1 Analysis of Algorithms
PDSA,Week 2,2.2 Comparing Orders of Magnitude
PDSA,Week 2,2.3 Calculating Complexity
PDSA,Week 2,2.4 Searching in a List
PDSA,Week 2,2.5 Selection Sort
PDSA,Week 2,2.6 Insertion Sort
PDSA,Week 2,2.7 Merge Sort
PDSA,Week 2,2.8 Analysis of Merge Sort
PDSA,Week 2,2.9 Implementation of Searching and Sorting algorithms
PDSA,Week 7,7.1 Balanced Search Trees
PDSA,Week 7,7.2 Greedy Algorithms-Interval Scheduling
PDSA,Week 7,7.3 Greedy Algorithms-Minimizing Lateness
PDSA,Week 7,7.4 Greedy Algorithms-Huffman Coding
BDM,Week 6,6.9 Key learnings from the Case
BDM,Week 6,6.7 Days of sales of inventory presentation
BDM,Week 6,6.8 Presentation of Ledger
BDM,Week 6,6.6 Average days of inventory
BDM,Week 6,6.3 Sales trend presentation
BDM,Week 6,6.4 Days of inventory
BDM,Week 6,6.2 Scatter chart presentation
BDM,Week 6,6.1 Sales analysis presentation
BDM,Week 6,6.5 Ledger
BDM,Week 6,6.10 VLOOKUP and Pivot Table
BDM,Week 7,7.2 ACE Gears case Introduction
BDM,Week 7,7.10 Region wise revenue and sales agent planning presentation
BDM,Week 7,7.6 Revenue analysis presentation
BDM,Week 7,7.3 Background Context to the Case
BDM,Week 7,7.1 Introduction to the manufacturing sector
BDM,Week 7,7.8 Product portfolio presentation
BDM,Week 7,7.5 Revenue trend working
BDM,Week 7,"7.4 Introduction to the dataset - sales, production and inventory"
BDM,Week 7,7.9 Region Wise Revenue Working
BDM,Week 7,7.7 Portfolio management working
BDM,Week 11,11.1 AB Testing Introduction
BDM,Week 11,11.4 What is credit risk analysis
BDM,Week 11,11.6 Credit risk analysis review of data
BDM,Week 11,11.5 Explanation of the credit risk dataset
BDM,Week 11,11.2 AB Testing Working
BDM,Week 11,11.3 AB Testing Presentation
BDM,Week 11,11.7 Credit risk analysis monthly trends
BDM,Week 11,11.8 Credit risk analysis presentation
